"Sample_Name","MEblack","MEbrown","MEyellow","MEred","MEturquoise","MEblue","MEgreen","MEgrey"
"RS-38",-0.114362132662964,-0.108160115114718,-0.376126108907729,-0.168310275149871,-0.180346975869461,0.180883302409568,0.112257367155714,-0.289652149595227
"RS-39",0.141487375609589,0.0766321683739332,0.0429848672420561,0.0471477929430422,0.0283174375209912,0.0864930805477705,0.0616310030331153,0.0418983505530841
"RS-40",-0.0213860082679677,-0.0584577608299656,-0.106417425487798,-0.110978800848823,-0.188568248781319,0.286957475367101,0.0493426253212785,-0.0743985969944591
"RS-41",0.493985037157459,0.484868542660204,0.353504053994956,0.364246149791794,0.334719967384214,-0.216938296019324,-0.704505713852984,0.506890979085601
"RS-42",0.0645730148976788,0.0939863545790632,-0.142920584890455,0.0777772969119885,0.0652603545801162,-0.171697221286375,-0.0667471812327313,0.158210384465994
"RS-43",0.146393661971795,0.112022105384746,0.0654691992703788,0.122586084035669,0.0783973955851549,-0.0485687970535555,0.0141901168310397,0.0765605087159364
"RS-45",0.14956946330228,0.131357437155741,0.119547624846373,0.119571799623856,0.214896005356489,-0.22069763986432,0.0261949776234386,0.0865247737002962
"RS-46",0.0297119488654443,0.0946818742279326,0.0149714267631195,0.0555407795017468,0.0729965452892374,-0.000957426338817235,0.0742152497105913,0.0441945667661846
"RS-48",0.0888762962469564,0.0522061004209357,0.0699219651337159,0.000689196140709317,-0.00319781730566194,0.0846704836589371,0.0727237775247489,0.0524166328896731
"RS-50",0.0823077274648629,0.113659855763066,0.131029344069569,0.16338532086339,0.145931235439235,-0.0452991979551271,0.0581143431011098,0.139694255291238
"RS-51",0.111015294299867,0.123929340367479,0.0704040075477256,0.064322258310653,0.0936139820546456,0.0151015359812919,0.0737127570814701,0.0910880864569
